,0
662,challenge
663,inclusivity
664,changes
665,of
666,for
667,-
668,in
669,I’m
670,learn
671,a
672,wasn't
673,overtaxing
674,of
675,am
676,like
677,Interdisciplinary
678,right
679,have
680,me
681,loved
682,solve
683,and
684,deeper
685,realizing
686,school
687,to
688,suit
689,in
690,to
691,eager
692,me
693,the
694,a
695,status
696,"years,"
697,learning
698,Wanted
699,with
700,to
701,to
702,the
703,the
704,undergraduate
705,help
706,come
707,science
708,knowledge
709,the
710,this
711,I
712,with
713,that
714,how
715,people
716,forward
717,weren't
718,a
719,professional
720,I'm
721,focus
722,protecting
723,connecting
724,the
725,expand
726,in
727,excited
728,Despite
729,I
730,issues
731,most
732,want
733,at
734,its
735,the
736,Planning
737,Bren.
738,I
739,are
740,in
741,big
742,the
743,mainly
744,empower
745,Barbara
746,increase
747,I
748,solve
749,to
750,in
751,also
752,problems.
753,decided
754,side.
755,interested
756,of
757,true
758,having
759,practical
760,the
761,didn’t
762,the
763,a
764,our
765,life
766,into
767,so
768,we
769,faculty
770,decided
771,to
772,a
773,understanding
774,professional
775,was
776,and
777,problems.
778,most
779,for
780,environmental
781,issue.Needed
782,the
783,to
784,pursue
785,my
786,and
787,through
788,to
789,am
790,climate
791,field
792,career
793,into
794,to
795,to
796,sustainable
797,on
798,to
799,going
800,because
801,looking
802,work
803,working
804,environmental
805,of
806,to
807,how
808,delve
809,learn
810,other
811,have
812,studies
813,excited
814,to
815,gain
816,things
817,to
818,coming
819,am
820,it
821,educate
822,feeling
823,solving
824,forward
825,inefficient
826,program.
827,very
828,of
829,so
830,of
831,like
832,understanding
833,because
834,am
835,order
836,forward
837,cohort
838,school
839,from
840,The
841,well
842,spend
843,went
844,the
845,location
846,a
847,tired
848,was
849,a
850,also
851,gaining
852,efforts
853,from
854,and
855,positive
856,inequality.
857,partner
858,on
859,personality
860,total
861,skills
862,options.
863,and
864,scientist.
865,to
866,of
867,Climate
868,to
869,the
870,I'm
871,who
872,of
873,understand
874,I
875,pinpointing
876,to
877,was
878,to
879,and
880,environment.
881,work
882,specifically
883,communicate
884,career.
885,do
886,policy
887,Bren
888,me
889,program
890,how
891,I
892,forward
893,to
894,am
895,and
896,solves
897,career
898,a
899,big
900,more
901,learn
902,of
903,focus!
904,and
905,to
906,forward
907,what
908,as
909,because
910,to
911,came
912,and
913,"success,"
914,and
915,here.
916,the
917,meaningful
918,decided
919,lots
920,sustainability.
921,working
922,social
923,engineering
924,am
925,because
926,take
927,I
928,time
929,issues.
930,also
931,global
932,the
933,of
934,or
935,various
936,western
937,into
938,Santa
939,environmental
940,career.
941,community.inspire
942,they
943,I
944,skill
945,related
946,community.
947,because
948,the
949,associated
950,having
951,Bren
952,knowledge.
953,a
954,forward
955,and
956,come
957,to
958,Bren
959,program
960,successI
961,I
962,my
963,am
964,to
965,overall
966,change.
967,access
968,pursue
969,"policies,"
970,and
971,felt
972,relationship
973,Bren
974,"resources,"
975,of
976,to
977,get
978,Development
979,more
980,and
981,rapid
982,to
983,in
984,to
985,before
986,why
987,us.
988,opportunities.I
989,environmental
990,and
991,chose
992,about.
993,years
994,I
995,of
996,looking
997,to
998,Bren
999,work
1000,Bren
1001,or
1002,continue
1003,so
1004,learn
1005,field
1006,solutions
1007,interested
1008,and
1009,an
1010,focus
1011,and
1012,program
1013,is
1014,and
1015,and
1016,hydrology
1017,decided
1018,the
1019,coast
1020,with
1021,a
1022,to
1023,field
1024,I
1025,in
1026,ongoing
1027,looking
1028,want
1029,the
1030,the
1031,and
1032,conservation
1033,work
1034,conservation
1035,like
1036,an
1037,to
1038,same
1039,opportunities
1040,surrounded
1041,awesome
1042,create
1043,great
1044,Career/Professional
1045,specializations
1046,professionals!To
1047,came
1048,meeting
1049,succeed
1050,however
1051,getting
1052,PNW
1053,with
1054,consumption
1055,and
1056,protect
1057,Bren
1058,decided
1059,Bren
1060,natural
1061,want
1062,has
1063,because
1064,I
1065,environmental
1066,support
1067,in
1068,narrow
1069,me.I
1070,can
1071,as
1072,incredibly
1073,to
1074,field
1075,I
1076,interacting
1077,decisions
1078,looking
1079,forward
1080,I
1081,climate
1082,looking
1083,regarding
1084,to
1085,people
1086,expand
1087,and
1088,science
1089,part
1090,environmental
1091,to
1092,forward
1093,to
1094,felt
1095,I
1096,how
1097,I’m
1098,in
1099,professionals
1100,communicate
1101,as
1102,up
1103,to
1104,forward
1105,I
1106,the
1107,marine
1108,but
1109,environmental
1110,gain
1111,development.
1112,scientific
1113,This
1114,to
1115,articulate
1116,looking
1117,ocean
1118,to
1119,pollution
1120,and
1121,perspectives.I
1122,uptake
1123,environmental
1124,of
1125,go
1126,the
1127,land
1128,on
1129,tools
1130,climate
1131,Behavior
1132,with
1133,look
1134,to
1135,gaining
1136,and
1137,to
1138,backgrounds
1139,looking
1140,and
1141,meaningful
1142,energy
1143,realm
1144,I
1145,nature
1146,plant
1147,work
1148,their
1149,forward
1150,change
1151,field
1152,environmental
1153,entering
1154,about
1155,principles
1156,Coast
1157,pursue
1158,am
1159,and
1160,world
1161,in
1162,focus.I
1163,my
1164,scienceI
1165,help
1166,my
1167,because
1168,to
1169,come
1170,get
1171,to
1172,the
1173,to
1174,so
1175,to
1176,at
1177,focus
1178,West
1179,I
1180,reversing
1181,I
1182,myself
1183,Santa
1184,to
1185,to
1186,two
1187,forward
1188,forward
1189,our
1190,and
1191,to
1192,other
1193,after
1194,if
1195,fields
1196,here
1197,and
1198,type
1199,environmental
1200,and
1201,our
1202,to
1203,to
1204,It
1205,on
1206,to
1207,permanent
1208,environmental
1209,enroll
1210,of
1211,more
1212,skills
1213,environmental
1214,in
1215,skills
1216,the
1217,around
1218,dynamic
1219,looking
1220,solving.
1221,be
1222,of
1223,in
1224,effectively
1225,my
1226,to
1227,ideas!To
1228,from
1229,sustainability
1230,school!
1231,potential
1232,degree
1233,education
1234,and
1235,I
1236,few
1237,most
1238,be
1239,development
1240,work
1241,a
1242,on
1243,my
1244,writing.
1245,to
1246,knowledge
1247,career
1248,see
1249,to
1250,to
1251,is
1252,to
1253,component;
1254,sciencesTo
1255,Strengthening
1256,I
1257,forward
1258,in
1259,skills
1260,to
1261,further
1262,looking
1263,are
1264,past
1265,want
1266,in
1267,forward
1268,expand
1269,yet
1270,to
1271,I
1272,informed
1273,disciplines.
1274,citizen-based
1275,environment
1276,the
1277,change
1278,my
1279,I
1280,one
1281,a
1282,working
1283,goals.I
1284,gain
1285,environmental
1286,community
1287,the
1288,I
1289,and
1290,I
1291,the
1292,meeting
1293,to
1294,am
1295,most
1296,is
1297,nice
1298,time
1299,most
1300,pursue
1301,it.
1302,faculty.
1303,collaborative
1304,and
1305,and
1306,the
1307,a
1308,very
1309,decided
1310,gaps
1311,here.
1312,looking
1313,of
1314,the
1315,that
1316,to
1317,passionate
1318,I
1319,"network,"
1320,issues
1321,with
1322,in
1323,to
1324,want
1325,my
1326,Everyone
1327,"leaders,"
1328,Bren
1329,real-world
1330,systems
1331,in
1332,before
1333,whole
1334,general
1335,go
1336,particular
1337,applying
1338,work
1339,the
1340,the
1341,various
1342,and
1343,I
1344,with
1345,help.
1346,far
1347,current
1348,be
1349,be
1350,by
1351,most
1352,come
1353,tools
1354,deepen
1355,field.
1356,wildlife
1357,came
1358,program.
1359,able
1360,campus
1361,dream
1362,make
1363,public
1364,problemsI
1365,to
1366,restructure
1367,to
1368,forward
1369,been
1370,live
1371,I
1372,coming
1373,like-minded
1374,management
1375,having
1376,Environmental
1377,of
1378,ladder
1379,most
1380,and
1381,of
1382,individuals
1383,am
1384,sustainable
1385,make
1386,different
1387,me
1388,broad
1389,a
1390,go
1391,think
1392,to
1393,attack
1394,the
1395,a
1396,lead
1397,are
1398,connectionsI
1399,collaborative
1400,whereas
1401,towards
1402,are
1403,tackle
1404,been
1405,my
1406,knowledge
1407,find
1408,renewbale
1409,I'm
1410,pollutants
1411,the
1412,change.
1413,environmental
1414,interests.
1415,me
1416,environmental
1417,community
1418,forward
1419,"environment,"
1420,other
1421,and
1422,a
1423,diverse
1424,and
1425,learn
1426,I
1427,in
1428,the
1429,with
1430,working
1431,I
1432,them
1433,to
1434,these
1435,to
1436,career.I
1437,to
1438,picture
1439,consulting
1440,about
1441,to
1442,skills
1443,from
1444,The
1445,to
1446,the
1447,most
1448,so
1449,I
1450,program
1451,in
1452,actionable
1453,more
1454,come
1455,I
1456,decided
1457,help
1458,most
1459,to
1460,new
1461,intersectional
1462,a
1463,a
1464,learning
1465,biology
1466,analytical
1467,creating
1468,will
1469,help
1470,working
1471,protect
1472,forward
1473,a
1474,career
1475,more
1476,the
1477,most
1478,and
1479,program
1480,to
1481,sustainable
1482,looking
1483,a
1484,to
1485,forward
1486,outdoors
1487,me
1488,felt
1489,have
1490,the
1491,would
1492,communicate
1493,gave
1494,explore
1495,wanted
1496,to
1497,much
1498,help
1499,the
1500,the
1501,professional
1502,my
1503,to
1504,the
1505,impact
1506,on
1507,that
1508,environmental
1509,applicable
1510,with
1511,be
1512,through
1513,the
1514,job.The
1515,rewarding
1516,in
1517,to
1518,use
1519,energy
1520,build
1521,well.This
1522,realize
1523,"resources,"
1524,I
1525,project
1526,Bren
1527,my
1528,a
1529,am
1530,because
1531,Bren
1532,water
1533,and
1534,and
1535,how
1536,that
1537,am
1538,learned
1539,I
1540,multidisciplinary
1541,I
1542,To
1543,school
1544,experience
1545,different
1546,excited
1547,how
1548,of
1549,corporate
1550,provides
1551,I
1552,"justice,"
1553,on
1554,adaptation.
1555,career
1556,leading
1557,before
1558,related
1559,for
1560,people
1561,conferences
1562,primarily
1563,wanted
1564,thesis
1565,food
1566,to
1567,so
1568,freshman!
1569,at
1570,environmental
1571,and
1572,"career,"
1573,realize
1574,Networking
1575,
1576,am
1577,and
1578,the
1579,how
1580,come
1581,of
1582,set
1583,would
1584,I
1585,I
1586,come
1587,because
1588,subjects
1589,environmental
1590,looking
1591,all
1592,in
1593,skills
1594,I
1595,core
1596,and
1597,environmental
1598,my
1599,I
1600,to
1601,to
1602,technical
1603,being
1604,feel
1605,by
1606,so
1607,several
1608,activity
1609,my
1610,efforts
1611,with
1612,in
1613,them.
1614,giving
1615,great
1616,praise
1617,needed
1618,way
1619,Bren
1620,love
1621,about
1622,commmunity.I
1623,the
1624,impressive
1625,don't
1626,forward
1627,year
1628,
1629,but
1630,ecologically
1631,house
1632,place.Bren
1633,to
1634,change.
1635,share
1636,new
1637,want
1638,to
1639,am
1640,emphasis
1641,I
1642,was
1643,(esp.
1644,decided
1645,folks
1646,offer
1647,to
1648,aboutCuriosity
1649,forward
1650,want
1651,degree
1652,my
1653,solutions
1654,am
1655,forward
1656,make
1657,"change,"
1658,to
1659,to
1660,to
1661,how
1662,an
1663,the
1664,environmental
1665,to
1666,Bren
1667,the
1668,Bren
1669,can
1670,done
1671,research
1672,look
1673,environmental
1674,the
1675,and
1676,with
1677,as
1678,I
1679,I
1680,effectively
1681,extent
1682,a
1683,and
1684,an
1685,to
1686,and
1687,climate
1688,the
1689,apathy
1690,forward
1691,"field,"
1692,wanted
1693,because
1694,create
1695,"professions,"
1696,I'm
1697,to
1698,I
1699,to
1700,"learn,"
1701,looking
1702,to
1703,develop
1704,professionals
1705,I
1706,to
1707,I
1708,I'm
1709,a
1710,enter
1711,approach
